"","sound.files","selec","start","end"
"1386","SRF12M05.WAV.wav",4,103.274082,104.4830915
"1389","SRF12M05.WAV.wav",3,110.6360064,111.6510896
"1392","SRF12M05.WAV.wav",1,117.1669946,118.2101647
"1413","SRF13M02_3.WAV.wav",1,60.74217704,61.97634102
"1416","SRF13M02_3.WAV.wav",3,77.70909678,79.03915264
"1419","SRF13M02_3.WAV.wav",4,38.33339837,39.88365039
"1449","SRF14M02.WAV.wav",1,19.7217939,21.08689457
"1452","SRF14M02.WAV.wav",2,179.3870435,180.7709494
"1455","SRF14M02.WAV.wav",3,134.9293313,136.4420954
"1494","SRF16M01.WAV.wav",1,1.750207191,3.388690206
"1497","SRF16M01.WAV.wav",2,15.0744653,15.92211631
"1500","SRF16M01.WAV.wav",3,23.35544578,24.88162028
"1545","SRF17M02_1.WAV.wav",1,2.314106498,3.174622867
"1548","SRF17M02_1.WAV.wav",2,12.68863266,13.8592338
"1551","SRF17M02_1.WAV.wav",3,36.78008476,37.23836265
"1554","SRF17M03_1.WAV.wav",1,129.877943,131.1212436
"1557","SRF17M03_1.WAV.wav",2,142.099518,143.3159525
"1560","SRF17M03_1.WAV.wav",3,94.80766205,95.86176476
"1581","SRF17M06_1.WAV.wav",1,1.778320594,3.104724365
"1584","SRF17M06_2.WAV.wav",1,36.16947343,37.02278744
"1587","SRF17M06_2.WAV.wav",3,80.87246891,81.81560545
"1635","SRF20M01.WAV.wav",1,227.090248,227.783907
"1638","SRF20M01.WAV.wav",2,197.3297143,198.501474
"1641","SRF20M01.WAV.wav",3,53.71684965,54.4443269
"1653","SRF22M02_2.WAV.wav",1,129.5835605,130.8400975
"1656","SRF22M02_1.WAV.wav",1,159.7927975,160.8397232
"1659","SRF22M02_1.WAV.wav",4,15.89750989,17.16247648
"1662","SRF22M03_3.WAV.wav",3,51.82951151,53.38605451
"1671","SRF22M03_2.WAV.wav",1,7.013276263,8.142328836
"1674","SRF22M03_2.WAV.wav",2,15.41025472,16.21701042
"1677","SRF22M03_2.WAV.wav",3,22.29682206,23.32046936
"1707","SRF23M07_2.WAV.wav",3,10.02061697,11.04370518
"1710","SRF23M07_2.WAV.wav",4,77.81440778,78.64693692
"1713","SRF23M07_2.WAV.wav",5,36.35634795,37.34779426
"1752","SRF24M04_2.WAV.wav",1,109.4132574,110.5463858
"1755","SRF24M04_2.WAV.wav",2,79.96642748,81.04862877
"1758","SRF24M04_2.WAV.wav",3,52.86687345,53.75731914
"1761","SRF24M05_1.WAV.wav",1,20.9840606,21.76116594
"1764","SRF24M05_1.WAV.wav",2,156.8620057,157.7393038
"1767","SRF24M05_1.WAV.wav",4,76.50718131,77.29406156
"1770","SRF25M01_2.WAV.wav",1,51.04890362,52.4563902
"1773","SRF25M01_2.WAV.wav",2,62.37646224,63.64752577
"1776","SRF25M01_2.WAV.wav",3,133.8317099,134.8132903
"1788","SRF25M02_3.WAV.wav",1,52.4992857,53.61260509
"1791","SRF25M02_3.WAV.wav",4,29.40628246,30.69495306
"1794","SRF25M02_3.WAV.wav",9,97.97293747,99.02817064
"1821","SRF27M06_2.WAV.wav",1,146.6542084,148.4659326
"1824","SRF27M06_2.WAV.wav",2,10.68224557,12.32677871
"1827","SRF27M06_2.WAV.wav",3,110.3481736,111.945198
"1854","SRF28M04.WAV.wav",5,255.2210392,256.6103358
"1857","SRF28M04.WAV.wav",6,285.7178131,287.4329115
"1860","SRF28M04.WAV.wav",7,338.0096995,339.0942482
"1881","SRG02M01.WAV.wav",4,131.8154548,133.4334711
"1884","SRG02M01.WAV.wav",5,219.0025032,220.6849908
"1887","SRG02M01.WAV.wav",6,153.0837811,154.5430924
"1917","SRG04M01_3.WAV.wav",1,163.4483438,164.6094798
"1920","SRG04M01_2.WAV.wav",1,10.63273566,12.16221678
"1923","SRG04M01_2.WAV.wav",2,1.534515738,3.071393347
"1998","XC150357 - Townsend's Warbler - Setophaga townsendi.wav",1,78.78029178,80.63615641
"2001","XC150357 - Townsend's Warbler - Setophaga townsendi.wav",3,97.58761572,99.37291816
"2004","XC150357 - Townsend's Warbler - Setophaga townsendi.wav",4,52.89297464,54.9773102
"2007","XC150359 - Townsend's Warbler - Setophaga townsendi.wav",1,39.40647061,40.96199513
"2010","XC150359 - Townsend's Warbler - Setophaga townsendi.wav",2,50.94354098,52.8764299
"2013","XC150359 - Townsend's Warbler - Setophaga townsendi.wav",3,2.364879599,3.66586253
"2016","XC153709 - Townsend's Warbler - Setophaga townsendi.wav",1,83.02641833,84.47376184
"2019","XC153709 - Townsend's Warbler - Setophaga townsendi.wav",2,39.14200722,40.53499992
"2022","XC153709 - Townsend's Warbler - Setophaga townsendi.wav",3,74.57092667,75.80351009
"2106","XC157613 - Townsend's Warbler - Setophaga townsendi.wav",1,52.94902109,54.2518643
"2109","XC157613 - Townsend's Warbler - Setophaga townsendi.wav",2,63.00357078,64.49950638
"2112","XC157613 - Townsend's Warbler - Setophaga townsendi.wav",3,2.23152301,3.791115454
"2169","XC182421 - Townsend's Warbler - Setophaga townsendi.wav",1,37.81092968,39.41849562
"2172","XC182421 - Townsend's Warbler - Setophaga townsendi.wav",2,20.56742612,22.38133239
"2175","XC182421 - Townsend's Warbler - Setophaga townsendi.wav",3,1.150292544,2.748620517
"2187","XC187462 - Townsend's Warbler - Setophaga townsendi.wav",1,0.023473181,1.572703103
"2190","XC187462 - Townsend's Warbler - Setophaga townsendi.wav",2,15.34196609,16.91426833
"2193","XC187462 - Townsend's Warbler - Setophaga townsendi.wav",3,30.28136021,31.85020386
"2214","XC187467 - Townsend's Warbler - Setophaga townsendi.wav",1,81.68214318,82.96734523
"2217","XC187467 - Townsend's Warbler - Setophaga townsendi.wav",2,23.22573747,24.63489665
"2220","XC187467 - Townsend's Warbler - Setophaga townsendi.wav",3,6.445341847,7.733665183
"2259","XC322899 - Townsend's Warbler - Setophaga townsendi.wav",1,18.01214914,19.89305612
"2262","XC322899 - Townsend's Warbler - Setophaga townsendi.wav",2,9.847956199,11.50758001
"2265","XC322899 - Townsend's Warbler - Setophaga townsendi.wav",3,24.51795124,26.16580467
"2268","XC322900 - Townsend's Warbler - Setophaga townsendi.wav",1,59.86665166,61.50266729
"2271","XC322900 - Townsend's Warbler - Setophaga townsendi.wav",2,26.35970532,27.99010533
"2274","XC322900 - Townsend's Warbler - Setophaga townsendi.wav",4,43.62475307,45.22520314
"2295","XC322939 - Townsend's Warbler - Setophaga townsendi.wav",1,10.56696267,12.07325038
"2298","XC322939 - Townsend's Warbler - Setophaga townsendi.wav",2,19.16977897,20.69433051
"2301","XC322939 - Townsend's Warbler - Setophaga townsendi.wav",4,28.74284112,30.48171534
"2313","XC323058 - Townsend's Warbler - Setophaga townsendi.wav",1,20.33287767,21.61847085
"2316","XC323058 - Townsend's Warbler - Setophaga townsendi.wav",2,38.2036825,39.64953317
"2319","XC323058 - Townsend's Warbler - Setophaga townsendi.wav",3,29.97582335,31.21417991
