"","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Agg.Entropy..bits.","Avg.Entropy..bits.","BW.90...Hz.","Center.Freq..Hz.","Delta.Time..s.","Freq.5...Hz.","Freq.95...Hz.","Max.Freq..Hz.","Begin.File","Begin.Path","Signal.Type","song.analyzed","num.notes","num.unique.notes","buzzy.or.clear","Song.ID.1","Source"
"18",6,"Selection Spectrum 1",1,17.91619614,19.83840637,3507.1,7094.1,4.781,4.781,2325.6,5168,1.922,4220.5,6546.1,6287.7,"10028_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10028_44k.wav","song","2",21,4,"clear","10028","Macauley Library"
"19",1,"Waveform 1",1,8.026506259,9.379105172,3358.3,9229.5,NA,NA,NA,NA,1.353,NA,NA,NA,"10029_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10029_44k.wav","song","1",13,7,"clear","10029","Macauley Library"
"20",1,"Spectrogram 1",1,8.026506259,9.379105172,3358.3,9229.5,2.548,2.884,947.5,6804.5,1.353,5943.2,6890.6,6804.5,"10029_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10029_44k.wav","song","1",13,7,"clear","10029","Macauley Library"
"21",1,"Selection Spectrum 1",1,8.026506259,9.379105172,3358.3,9229.5,2.569,2.569,947.5,6804.5,1.353,5943.2,6890.6,6804.5,"10029_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10029_44k.wav","song","1",13,7,"clear","10029","Macauley Library"
"22",2,"Waveform 1",1,44.30945119,45.72024798,4066.2,8622.2,NA,NA,NA,NA,1.411,NA,NA,NA,"10029_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10029_44k.wav","song","4",13,7,"clear","10029","Macauley Library"
"23",2,"Spectrogram 1",1,44.30945119,45.72024798,4066.2,8622.2,2.628,2.48,1981.1,6718.4,1.411,4823.4,6804.5,6804.5,"10029_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10029_44k.wav","song","4",13,7,"clear","10029","Macauley Library"
"24",2,"Selection Spectrum 1",1,44.30945119,45.72024798,4066.2,8622.2,2.628,2.628,1981.1,6718.4,1.411,4823.4,6804.5,6718.4,"10029_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10029_44k.wav","song","4",13,7,"clear","10029","Macauley Library"
"25",3,"Waveform 1",1,37.84755022,39.24229242,3914.4,9633.7,NA,NA,NA,NA,1.395,NA,NA,NA,"10029_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10029_44k.wav","song","3",13,7,"clear","10029","Macauley Library"
"26",3,"Spectrogram 1",1,37.84755022,39.24229242,3914.4,9633.7,2.774,2.587,689.1,6718.4,1.395,6201.6,6890.6,6718.4,"10029_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10029_44k.wav","song","3",13,7,"clear","10029","Macauley Library"
"27",3,"Selection Spectrum 1",1,37.84755022,39.24229242,3914.4,9633.7,2.784,2.784,689.1,6718.4,1.395,6201.6,6890.6,6804.5,"10029_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10029_44k.wav","song","3",13,7,"clear","10029","Macauley Library"
