"","sound.files","selec","start","end"
"416","SRE07M07_2.wav",2,20.81302735,22.41605608
"419","SRE07M07_2.wav",4,32.22248006,33.73720637
"422","SRE07M08.wav",1,44.12495305,45.53032217
"425","SRE07M08.wav",2,60.31274104,61.95368064
"428","SRE07M08.wav",3,103.750713,105.1379613
"431","SRE07M09_1.wav",1,8.535836938,9.897114548
"434","SRE07M09_1.wav",2,110.3788399,111.3252847
"437","SRE07M09_2.wav",1,21.75608958,23.517784
"440","SRE07M10.wav",1,165.2713072,167.1361885
"443","SRE07M10.wav",2,41.88350313,43.76026101
"446","SRE07M10.wav",3,122.5510015,124.475442
"449","SRE08M01.wav",1,107.8393834,109.5121227
"452","SRE08M01.wav",3,78.28092246,79.70000137
"455","SRE08M01.wav",5,26.61261996,28.36872639
"458","SRE08M04_1.wav",1,151.5773654,152.4934795
"461","SRE08M04_1.wav",2,216.4097224,217.6510103
"464","SRE08M04_2.wav",1,73.11233028,74.29808931
"467","SRE08M05.wav",1,90.32763071,91.96176036
"470","SRE08M05.wav",2,56.95671952,58.60992967
"473","SRE08M05.wav",4,39.29750646,40.93203626
"476","SRE08M08.wav",1,1.201965474,2.408936001
"479","SRE08M08.wav",6,22.14366503,23.71811949
"482","SRE08M08.wav",7,35.77298206,37.4546794
"494","SRE08M12_1.wav",1,192.5561906,194.172107
"497","SRE08M12_1.wav",2,142.3235385,143.9224153
"500","SRE08M12_2.wav",1,189.8461104,191.1847945
"512","SRE09M03.wav",1,30.86202806,32.274048
"515","SRE09M03.wav",3,79.71167144,81.09792289
"518","SRE09M03.wav",4,58.94207828,60.37383652
"521","SRE10M03.WAV.wav",3,16.1737822,18.03012626
"524","SRE10M03.WAV.wav",5,32.46635984,34.21101957
"527","SRE10M03.WAV.wav",6,59.91218191,61.51207107
"530","SRE10M04_1.WAV.wav",1,201.3673326,202.940796
"533","SRE10M04_1.WAV.wav",2,116.5997905,117.9334803
"536","SRE10M04_1.WAV.wav",4,71.65735506,73.37718725
"539","SRE17M03_1.WAV.wav",1,27.21502587,28.4711748
"542","SRE17M03_1.WAV.wav",2,35.4074273,36.81215299
"545","SRE17M03_2.WAV.wav",1,1.476758378,2.792642085
"557","SRE17M05.WAV.wav",1,36.14647162,37.53269567
"560","SRE17M05.WAV.wav",2,59.57447719,60.91295921
"563","SRE17M05.WAV.wav",3,123.3320795,124.9593118
"566","SRE17M07.WAV.wav",1,36.50316458,37.81016092
"569","SRE17M07.WAV.wav",2,25.21087092,26.49505186
"572","SRE17M07.WAV.wav",3,49.56723341,50.84489566
"575","SRE17M08_1.WAV.wav",1,109.7317024,111.1341653
"578","SRE17M08_2.WAV.wav",1,17.96351583,19.32834643
"581","SRE17M08_2.WAV.wav",2,31.76661421,33.40584448
"584","SRE17M09.WAV.wav",1,165.7725163,167.0221083
"587","SRE17M09.WAV.wav",3,175.8989772,177.124722
"590","SRE17M09.WAV.wav",5,25.91275156,27.18857549
"602","SRE18M02.WAV.wav",1,263.4595598,264.8335964
"605","SRE18M02.WAV.wav",2,232.3865122,233.6260978
"608","SRE18M02.WAV.wav",4,75.45504323,76.69462889
"611","SRE18M03.WAV.wav",1,18.66325942,19.91517428
"614","SRE18M03.WAV.wav",2,313.8574408,315.4702574
"617","SRE18M03.WAV.wav",3,261.2907364,262.8895285
"620","SRE18M04.WAV.wav",1,42.07276597,43.05378412
"623","SRE18M04.WAV.wav",2,396.2519761,397.3601344
"626","SRE18M04.WAV.wav",3,87.94828935,88.83523727
"629","SRE19M01_2.WAV.wav",1,106.7045655,108.0921761
"632","SRE19M01_2.WAV.wav",2,130.5823389,132.1982681
"635","SRE19M01_2.WAV.wav",3,181.4645432,183.2503839
"638","SRE19M02_1.WAV.wav",1,1.625142951,3.208098527
"641","SRE19M02_2.WAV.wav",4,41.1491875,42.68443564
"643","SRE19M02_2.WAV.wav",6,62.8700455,64.42019896
"645","SRE19M03_1.WAV.wav",2,10.18827478,11.60420399
"648","SRE19M03_1.WAV.wav",10,211.7108559,213.1657231
"651","SRE19M03_1.WAV.wav",11,220.9398354,222.1522248
"654","SRE19M04.WAV.wav",3,27.10727788,28.34621593
"657","SRE19M04.WAV.wav",5,49.98547334,51.5022875
"660","SRE19M04.WAV.wav",10,137.3039461,138.726955
"663","SRE20M01.WAV.wav",8,72.58374495,73.84507411
"666","SRE20M01.WAV.wav",15,141.3684076,142.5482933
"669","SRE20M01.WAV.wav",27,262.3843894,263.3729723
"672","SRE20M02_2.WAV.wav",1,16.40046069,17.68541644
"674","SRE20M02_2.WAV.wav",6,119.7781981,120.8801001
"676","SRE20M02_2.WAV.wav",8,61.50832942,62.50622537
"678","SRE20M03_2.WAV.wav",3,41.98345838,43.72449213
"681","SRE20M03_2.WAV.wav",7,83.59259008,85.30896615
"684","SRE20M03_2.WAV.wav",20,350.032877,351.4912841
"687","SRE20M04.WAV.wav",9,95.94179382,97.51878497
"690","SRE20M04.WAV.wav",13,152.5128079,153.9057283
"693","SRE20M04.WAV.wav",14,161.4713638,162.7775585
"696","SRE20M05.WAV.wav",5,76.92352879,78.20809255
"698","SRE20M05.WAV.wav",8,114.0568581,115.3651083
"700","SRE20M05.WAV.wav",9,133.8379513,135.1190029
"709","SRE21M01_1.WAV.wav",1,181.0191136,182.5316179
"710","SRE21M01_1.WAV.wav",2,393.5257555,395.0075641
"717","SRE21M01_2.WAV.wav",1,76.07479904,77.53409198
"729","SRE21M03_1.WAV.wav",1,11.53421375,12.69052265
"732","SRE21M03_2.WAV.wav",1,59.53446141,60.8122771
"735","SRE21M03_2.WAV.wav",2,48.00395929,49.20557597
"738","SRE21M04_1.WAV.wav",1,11.37233532,12.9604864
"741","SRE21M04_2.WAV.wav",1,142.6183219,144.1426457
"744","SRE21M04_2.WAV.wav",2,204.0476595,205.3974309
"747","SRE21M05.WAV.wav",1,63.86144379,65.64481954
"750","SRE21M05.WAV.wav",2,107.3589749,109.245977
"753","SRE21M05.WAV.wav",3,117.7362095,119.5112283
"756","SRE21M06.WAV.wav",1,12.08095467,13.58385207
"759","SRE21M06.WAV.wav",2,34.96321763,36.02508072
"762","SRE21M06.WAV.wav",3,44.89683403,45.96177052
"765","SRE22M01_1.WAV.wav",1,1.770093534,3.283456127
"768","SRE22M01_2.WAV.wav",1,36.5418005,38.0141911
"771","SRE22M01_2.WAV.wav",2,69.36337426,70.85640585
"774","SRE22M02.WAV.wav",1,62.0336784,63.30699957
"777","SRE22M02.WAV.wav",2,81.38190465,82.97719833
"780","SRE22M02.WAV.wav",3,91.54025511,93.15740213
"783","SRE22M03.WAV.wav",1,114.9848604,116.6750054
"786","SRE22M03.WAV.wav",2,105.2547385,106.8348436
"789","SRE22M03.WAV.wav",3,68.56230203,69.89481718
"792","SRE22M04.WAV.wav",1,1.619334049,3.024710182
"795","SRE22M04.WAV.wav",2,40.62854839,41.97616934
"798","SRE22M04.WAV.wav",3,170.155062,171.5139131
"801","SRE24M01.WAV.wav",1,12.02646832,13.49497398
"804","SRE24M01.WAV.wav",2,1.777577273,3.214970517
"807","SRE24M01.WAV.wav",3,80.72495376,82.05708594
"810","SRE24M02_1.WAV.wav",1,144.7018697,145.6521601
"813","SRE24M02_3.WAV.wav",1,84.06334409,85.12586212
"816","SRE24M02_3.WAV.wav",2,57.3523935,58.40374541
"819","SRE24M03_2.WAV.wav",1,322.6013505,323.6450719
"822","SRE24M03_2.WAV.wav",2,107.9163465,109.0037851
"825","SRE24M03_2.WAV.wav",3,239.6200629,240.6689768
"828","SRE25M01.WAV.wav",1,110.248667,111.4274863
"831","SRE25M01.WAV.wav",3,120.5621969,121.7119961
"834","SRE25M01.WAV.wav",4,144.3428684,145.5185282
"837","SRE25M02_1.WAV.wav",1,264.2461308,265.6514756
"849","SRE25M02_2.WAV.wav",1,55.87316018,57.03531969
"852","SRE25M02_2.WAV.wav",2,70.94519019,72.36055763
"855","SRE25M03_1.WAV.wav",1,57.05115013,58.54651595
"858","SRE25M03_1.WAV.wav",2,180.181738,181.649857
"861","SRE25M03_1.WAV.wav",4,148.4360256,149.909824
"864","SRE25M04.WAV.wav",1,133.8126326,134.9235472
"867","SRE25M04.WAV.wav",2,588.6286032,589.7271054
"870","SRE25M04.WAV.wav",3,217.58501,218.7021308
"873","SRE26M01.WAV.wav",1,150.8460745,152.6033892
"876","SRE26M01.WAV.wav",26,204.8187974,206.4868776
"879","SRE26M01.WAV.wav",37,164.0465767,165.8687243
"882","SRE26M02.WAV.wav",1,259.2871669,262.081964
"885","SRE26M02.WAV.wav",5,276.6748844,278.3758342
"888","SRE26M02.WAV.wav",9,161.6199738,163.3436661
"891","SRE26M04_3.WAV.wav",1,1.65204935,3.392567001
"894","SRE26M04_3.WAV.wav",2,27.23013835,28.82532999
"897","SRE26M04_3.WAV.wav",3,50.35856836,51.95376001
"900","SRE26M05.WAV.wav",1,31.05347029,32.09663458
"903","SRE26M05.WAV.wav",2,113.6776591,115.041622
"906","SRE26M05.WAV.wav",3,47.057744,48.38477335
"909","SRE28M01_1.WAV.wav",1,49.03723346,50.36810594
"912","SRE28M01_1.WAV.wav",2,10.80416423,12.11140702
"915","SRE28M01_1.WAV.wav",3,38.66322839,39.99381481
"918","SRE28M02.WAV.wav",1,64.38563878,65.77651987
"921","SRE28M02.WAV.wav",2,155.2584435,156.7295776
"924","SRE28M02.WAV.wav",3,132.8621952,134.3823672
"927","SRE28M03.WAV.wav",1,21.01961065,22.52654184
"930","SRE28M03.WAV.wav",2,31.74974142,33.25157588
"933","SRE28M03.WAV.wav",3,60.61066886,61.78631304
"945","SRE29M01.WAV.wav",1,157.7979469,159.1599768
"948","SRE29M01.WAV.wav",2,139.7571501,141.3088071
"951","SRE29M01.WAV.wav",3,128.8520094,130.1117783
"954","SRE29M02.WAV.wav",1,67.89024829,69.25436234
"957","SRE29M02.WAV.wav",4,40.31893464,41.72632898
"960","SRE29M02.WAV.wav",6,15.10975877,16.50574745
"963","SRE29M05.WAV.wav",1,35.68451955,37.04622714
"966","SRE29M05.WAV.wav",2,127.9152379,129.4292354
"969","SRE29M05.WAV.wav",3,88.91919206,90.39001713
"972","SRE29M06.WAV.wav",1,56.66850579,58.10513615
