Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	80.316320581	81.797529886	3897.9	6726.0
2	Spectrogram 1	1	115.612520574	117.149589632	3387.3	6704.7
3	Spectrogram 1	1	134.612722186	135.898606046	4089.7	5622.1
4	Spectrogram 1	1	146.301857850	148.145418939	3344.8	6707.6
5	Spectrogram 1	1	163.877442441	165.472122783	3374.2	6715.8
6	Spectrogram 1	1	178.721982436	180.480278826	3395.5	6588.1
7	Spectrogram 1	1	193.382682672	195.175545831	3416.8	6715.8
8	Spectrogram 1	1	205.139485393	206.743383541	3395.5	6779.6
9	Spectrogram 1	1	218.239965728	220.111180234	3438.1	6758.3
