Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Agg Entropy (bits),Avg Entropy (bits),BW 90% (Hz),Center Freq (Hz),Delta Time (s),Freq 5% (Hz),Freq 95% (Hz),Max Freq (Hz),Begin File,Begin Path,Signal Type,Song ID,num notes,num unique notes,buzzy or clear,Song ID,Source
2,Spectrogram 1,1,44.30945119,45.72024798,4066.2,8622.2,2.628,2.48,1981.1,6718.4,1.411,4823.4,6804.5,6804.5,10029_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10029_44k.wav,song,4,13,7,clear,10029,Macauley Library
2,Selection Spectrum 1,1,44.30945119,45.72024798,4066.2,8622.2,2.628,2.628,1981.1,6718.4,1.411,4823.4,6804.5,6718.4,10029_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10029_44k.wav,song,4,13,7,clear,10029,Macauley Library
3,Waveform 1,1,37.84755022,39.24229242,3914.4,9633.7,,,,,1.395,,,,10029_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10029_44k.wav,song,3,13,7,clear,10029,Macauley Library
3,Spectrogram 1,1,37.84755022,39.24229242,3914.4,9633.7,2.774,2.587,689.1,6718.4,1.395,6201.6,6890.6,6718.4,10029_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10029_44k.wav,song,3,13,7,clear,10029,Macauley Library
3,Selection Spectrum 1,1,37.84755022,39.24229242,3914.4,9633.7,2.784,2.784,689.1,6718.4,1.395,6201.6,6890.6,6804.5,10029_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10029_44k.wav,song,3,13,7,clear,10029,Macauley Library
1,Waveform 1,1,85.19873493,86.64374907,3741.2,7482.3,,,,,1.445,,,,10030_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10030_44k.wav,song,9,16,5,clear,10030,Macauley Library
1,Spectrogram 1,1,85.19873493,86.64374907,3741.2,7482.3,3.696,2.945,1292,5254.1,1.445,4823.4,6115.4,5254.1,10030_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10030_44k.wav,song,9,16,5,clear,10030,Macauley Library
1,Selection Spectrum 1,1,85.19873493,86.64374907,3741.2,7482.3,3.698,3.698,1292,5254.1,1.445,4823.4,6115.4,5254.1,10030_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10030_44k.wav,song,9,16,5,clear,10030,Macauley Library
3,Waveform 1,1,6.996967065,8.222458403,3817.5,7329.6,,,,,1.225,,,,10030_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10030_44k.wav,song,1,13,5,clear,10030,Macauley Library
3,Spectrogram 1,1,6.996967065,8.222458403,3817.5,7329.6,3.766,2.855,1292,5254.1,1.225,4737.3,6029.3,5254.1,10030_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10030_44k.wav,song,1,13,5,clear,10030,Macauley Library
3,Selection Spectrum 1,1,6.996967065,8.222458403,3817.5,7329.6,3.766,3.766,1292,5254.1,1.225,4737.3,6029.3,5254.1,10030_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10030_44k.wav,song,1,13,5,clear,10030,Macauley Library
4,Waveform 1,1,64.02762412,65.32238236,3817.5,7482.3,,,,,1.295,,,,10030_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10030_44k.wav,song,7,14,5,clear,10030,Macauley Library
4,Spectrogram 1,1,64.02762412,65.32238236,3817.5,7482.3,3.648,2.961,1292,5254.1,1.295,4651.2,5943.2,4823.4,10030_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10030_44k.wav,song,7,14,5,clear,10030,Macauley Library
4,Selection Spectrum 1,1,64.02762412,65.32238236,3817.5,7482.3,3.659,3.659,1292,5254.1,1.295,4651.2,5943.2,4823.4,10030_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10030_44k.wav,song,7,14,5,clear,10030,Macauley Library
1,Waveform 1,1,34.30602899,35.65941473,3434.4,8592.9,,,,,1.353,,,,22965_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/22965_44k.wav,song,4,14,5,clear,22965,Macauley Library
1,Spectrogram 1,1,34.30602899,35.65941473,3434.4,8592.9,4.49,2.908,2584,4134.4,1.353,3876,6460,4048.2,22965_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/22965_44k.wav,song,4,14,5,clear,22965,Macauley Library
1,Selection Spectrum 1,1,34.30602899,35.65941473,3434.4,8592.9,4.487,4.487,2584,4134.4,1.353,3876,6460,4048.2,22965_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/22965_44k.wav,song,4,14,5,clear,22965,Macauley Library
2,Waveform 1,1,13.21959848,14.57018508,3208.3,9124.5,,,,,1.351,,,,22965_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/22965_44k.wav,song,2,14,5,clear,22965,Macauley Library
